room_count,bathroom_count,size,price,city,region
2.0,2.0,128.0,350.0,Tunis,Menzah
2.0,3.0,184.0,450.0,Tunis,Menzah
3.0,2.0,154.0,430.0,Ariana,Riadh Andalous
2.0,1.0,117.0,435.0,Tunis,Gammarth
2.0,0.0,48.0,55.0,Tunis,Bab Souika
5.0,3.0,221.0,950.0,Tunis,Ain Zaghouan Nord
3.0,2.0,215.0,740.0,Tunis,Jardins De Carthage
2.0,1.0,115.0,380.0,Ariana,La Soukra
2.0,1.0,80.0,150.0,Ariana,Ariana Ville
3.0,1.0,139.0,453.0,Tunis,Ain Zaghouan Sud
3.0,2.0,125.0,329.0,Tunis,Ain Zaghouan Nord
2.0,1.0,65.0,205.0,Ariana,La Soukra
4.0,3.0,246.0,670.0,Ariana,La Soukra
3.0,2.0,125.0,384.0,Ariana,La Soukra
1.0,1.0,49.0,220.0,Tunis,Ain Zaghouan Nord
4.0,4.0,257.0,879.0,Ariana,La Soukra
2.0,1.0,170.0,360.0,Ariana,La Soukra
5.0,4.0,248.0,1350.0,Tunis,Jardins De Carthage
4.0,3.0,162.0,470.0,Ariana,Riadh Andalous
4.0,3.0,170.0,700.0,Tunis,Ain Zaghouan Nord
4.0,3.0,230.0,670.0,Ariana,Chotrana
4.0,3.0,162.0,795.0,Tunis,Jardins De Carthage
3.0,2.0,118.0,410.0,Ariana,La Soukra
2.0,1.0,78.0,150.0,Tunis,L Aouina
1.0,2.0,115.0,290.0,Ariana,Ennasr
2.0,2.0,140.0,350.0,Ariana,Ennasr
3.0,2.0,154.0,470.0,Ariana,La Soukra
1.0,1.0,55.0,185.0,Tunis,L Aouina
1.0,1.0,86.5,250.0,Tunis,L Aouina
4.0,0.0,170.0,420.0,Ben Arous,Ezzahra
2.0,1.0,120.0,275.0,Ariana,Ennasr
1.0,1.0,48.0,170.0,Tunis,L Aouina
2.0,2.0,130.0,210.0,Ben Arous,Medina Jedida
2.0,2.0,75.0,140.0,Ben Arous,Ben Arous
1.0,1.0,52.0,195.0,Ben Arous,Ezzahra
3.0,0.0,160.0,490.0,Ariana,Cit Ennasr 2
1.0,1.0,60.0,120.0,Tunis,L Aouina
1.0,2.0,160.0,400.0,Ariana,Chotrana 1
3.0,2.0,100.0,330.0,Ben Arous,Mgrine
3.0,2.0,140.0,330.0,Tunis,L Aouina
3.0,2.0,150.0,350.0,Tunis,L Aouina
3.0,1.0,92.0,150.0,Tunis,Le Bardo
3.0,2.0,163.0,535.0,Tunis,Sidi Daoud
2.0,0.0,85.0,175.0,Ben Arous,Ezzahra
2.0,2.0,130.0,420.0,Ariana,Ennasr
